id,lat,lon,city_name,pop_size,state,immunity
1,46.9752047,-123.8113726,Aberdeen city,17013,WA,0
2,47.6459431,-117.5791969,Airway Heights city,10757,WA,0
3,46.7915997,-117.2512267,Albion town,550,WA,0
4,47.281987,-122.2504673,Algona city,3290,WA,0
5,47.7106088,-118.9369897,Almira town,318,WA,0
6,48.4887249,-122.62398,Anacortes city,17637,WA,0
7,48.1703724,-122.1445532,Arlington city,19868,WA,0
8,46.3337257,-117.0398039,Asotin city,1204,WA,0
9,47.303773,-122.2100001,Auburn city,87256,WA,0
10,47.642487,-122.507764,Bainbridge Island city,24825,WA,0
11,45.7766564,-122.5413583,Battle Ground city,20743,WA,0
12,47.5853426,-122.2036464,Beaux Arts Village town,317,WA,0
13,47.597837,-122.1564797,Bellevue city,151854,WA,0
14,48.7534421,-122.4701786,Bellingham city,91482,WA,0
15,46.263709,-119.4789816,Benton City city,3479,WA,0
16,45.7131079,-121.4717782,Bingen city,778,WA,0
17,47.3147484,-122.0176847,Black Diamond city,4697,WA,0
18,48.9871896,-122.7487701,Blaine city,5884,WA,0
19,47.199502,-122.1630325,Bonney Lake city,22487,WA,0
20,47.7735312,-122.204376,Bothell city,48161,WA,0
21,47.5398769,-122.717048,Bremerton city,43505,WA,0
22,48.106954,-119.769827,Brewster city,1983,WA,0
23,48.0070058,-119.6725326,Bridgeport city,2141,WA,0
24,47.7923876,-122.2734318,Brier city,6560,WA,0
25,47.1622395,-122.020272,Buckley city,5114,WA,0
26,46.7952546,-122.8698152,Bucoda town,600,WA,0
27,47.4756052,-122.3446615,Burien city,52066,WA,0
28,48.4663548,-122.3288825,Burlington city,9152,WA,0
29,45.6018094,-122.4303812,Camas city,26065,WA,0
30,47.0823198,-122.0518407,Carbonado town,734,WA,0
31,47.6441877,-121.9006702,Carnation city,2158,WA,0
32,47.5180537,-120.4670363,Cashmere city,3248,WA,0
33,46.2718579,-122.9039247,Castle Rock city,2446,WA,0
34,46.205819,-123.384018,Cathlamet town,560,WA,0
35,46.7220501,-122.970947,Centralia city,18183,WA,0
36,46.6641763,-122.9654252,Chehalis city,7439,WA,0
37,47.8442821,-120.013572,Chelan city,4222,WA,0
38,47.4911301,-117.5815461,Cheney city,13255,WA,0
39,48.28264,-117.7169453,Chewelah city,2470,WA,0
40,46.415405,-117.050135,Clarkston city,7161,WA,0
41,47.194638,-120.9528425,Cle Elum city,2157,WA,0
42,47.6303535,-122.2179834,Clyde Hill city,3126,WA,0
43,46.9016018,-117.3452705,Colfax city,2782,WA,0
44,46.0418163,-118.3879049,College Place city,9902,WA,0
45,46.5674673,-117.1284451,Colton town,401,WA,0
46,48.5454605,-117.8985132,Colville city,4917,WA,0
47,48.5585534,-119.7521288,Conconully town,193,WA,0
48,48.5326167,-121.7551553,Concrete town,801,WA,0
49,46.6622026,-118.8404974,Connell city,5441,WA,0
50,46.9543121,-123.7728949,Cosmopolis city,1638,WA,0
51,47.6117329,-119.2895286,Coulee City town,549,WA,0
52,47.9685106,-118.9762797,Coulee Dam town,1211,WA,0
53,48.2187947,-122.6794661,Coupeville town,1942,WA,0
54,47.3647925,-122.1045613,Covington city,20777,WA,0
55,47.7594154,-118.5199134,Creston town,213,WA,0
56,48.3284879,-117.2924571,Cusick town,153,WA,0
57,48.2546014,-121.6031201,Darrington town,1462,WA,0
58,47.6550417,-118.1518797,Davenport city,1703,WA,0
59,46.3167965,-117.9767781,Dayton city,2448,WA,0
60,47.9642046,-117.4397877,Deer Park city,4383,WA,0
61,47.3887085,-122.3175807,Des Moines city,32888,WA,0
62,47.1073508,-122.6475757,DuPont city,10151,WA,0
63,47.735512,-121.9722244,Duvall city,8034,WA,0
64,47.4174498,-120.2837984,East Wenatchee city,14158,WA,0
65,46.8682241,-122.2695676,Eatonville town,2845,WA,0
66,47.2320735,-122.2857285,Edgewood city,12327,WA,0
67,47.8136037,-122.3533299,Edmonds city,42853,WA,0
68,47.9129612,-119.0461432,Electric City city,956,WA,0
69,47.0001685,-120.5479363,Ellensburg city,18666,WA,0
70,47.0056781,-123.4107638,Elma city,3438,WA,0
71,48.0014989,-118.953675,Elmer City town,239,WA,0
72,46.9282315,-117.6866851,Endicott town,312,WA,0
73,47.6769697,-120.2223362,Entiat city,1326,WA,0
74,47.2021788,-121.9889763,Enumclaw city,12543,WA,0
75,47.3121991,-119.5341757,Ephrata city,8477,WA,0
76,47.95113,-122.193002,Everett city,110629,WA,0
77,48.9019069,-122.3610215,Everson city,2888,WA,0
78,47.3847652,-117.1748467,Fairfield town,589,WA,0
79,47.0887268,-117.0463582,Farmington town,131,WA,0
80,47.311596,-122.3377572,Federal Way city,101030,WA,0
81,48.8526276,-122.5886231,Ferndale city,15048,WA,0
82,47.231623,-122.3516479,Fife city,10999,WA,0
83,47.2307163,-122.5157038,Fircrest city,7156,WA,0
84,47.9527581,-124.3903498,Forks city,3335,WA,0
85,48.533947,-123.0189945,Friday Harbor town,2613,WA,0
86,47.0102483,-117.1395259,Garfield town,562,WA,0
87,47.0831485,-119.861683,George city,809,WA,0
88,47.3383782,-122.6007526,Gig Harbor city,12029,WA,0
89,47.8563351,-121.692006,Gold Bar city,2403,WA,0
90,45.8191455,-120.8233658,Goldendale city,3453,WA,0
91,47.9390907,-119.0021186,Grand Coulee city,972,WA,0
92,46.2443347,-119.908998,Grandview city,10907,WA,0
93,46.3452951,-120.1926735,Granger city,3624,WA,0
94,48.0896048,-121.9692065,Granite Falls city,4450,WA,0
95,48.5224775,-121.995264,Hamilton town,299,WA,0
96,46.4061186,-120.5409612,Harrah town,585,WA,0
97,47.4801585,-118.2552652,Harrington city,429,WA,0
98,47.6894488,-119.1081301,Hartline town,180,WA,0
99,46.7735281,-118.8276881,Hatton town,79,WA,0
100,46.9772017,-123.9097161,Hoquiam city,8776,WA,0
101,47.6429577,-122.2291967,Hunts Point town,457,WA,0
102,46.3126873,-124.0267319,Ilwaco city,1087,WA,0
103,47.8212624,-121.5559291,Index town,155,WA,0
104,48.7398143,-117.4220303,Ione town,428,WA,0
105,47.5444883,-122.0490853,Issaquah city,40051,WA,0
106,46.6432208,-118.5561386,Kahlotus city,147,WA,0
107,46.0171423,-122.8419365,Kalama city,2959,WA,0
108,46.1167512,-122.8864657,Kelso city,12720,WA,0
109,47.7498584,-122.2472442,Kenmore city,23914,WA,0
110,46.1983313,-119.1736245,Kennewick city,83921,WA,0
111,47.3879703,-122.2127275,Kent city,136588,WA,0
112,48.605567,-118.0618351,Kettle Falls city,1636,WA,0
113,47.6966579,-122.2041702,Kirkland city,92175,WA,0
114,46.9837019,-120.4189062,Kittitas city,1438,WA,0
115,47.4105199,-118.9887021,Krupp (Marlin) town,49,WA,0
116,45.8604935,-122.6757266,La Center city,3424,WA,0
117,47.0456647,-122.7952519,Lacey city,53526,WA,0
118,48.3925643,-122.4944527,La Conner town,965,WA,0
119,46.795521,-117.9177688,LaCrosse town,297,WA,0
120,47.7589112,-122.2917288,Lake Forest Park city,13630,WA,0
121,48.0020128,-122.095872,Lake Stevens city,35630,WA,0
122,47.1640919,-122.5281062,Lakewood city,63612,WA,0
123,47.2006872,-117.9049392,Lamont town,79,WA,0
124,48.0375368,-122.407122,Langley city,1147,WA,0
125,47.2821116,-117.155753,Latah town,185,WA,0
126,47.5947036,-120.6639132,Leavenworth city,2263,WA,0
127,47.668587,-117.1036375,Liberty Lake city,12003,WA,0
128,46.9703396,-118.6163743,Lind town,535,WA,0
129,46.3619344,-124.0578121,Long Beach city,1688,WA,0
130,46.1457073,-122.9642987,Longview city,37818,WA,0
131,48.5237887,-122.0655966,Lyman town,423,WA,0
132,48.94992,-122.4548027,Lynden city,15749,WA,0
133,47.8289794,-122.3006719,Lynnwood city,38568,WA,0
134,46.2115459,-119.9939118,Mabton city,1959,WA,0
135,47.058457,-123.2696458,McCleary city,1997,WA,0
136,47.22959,-117.4731361,Malden town,216,WA,0
137,47.8118999,-119.638003,Mansfield town,326,WA,0
138,47.3671468,-122.0348152,Maple Valley city,28013,WA,0
139,48.6642976,-118.0599698,Marcus town,216,WA,0
140,48.0802144,-122.1543118,Marysville city,70714,WA,0
141,46.7369745,-119.9043282,Mattawa city,3335,WA,0
142,47.5710393,-117.6894497,Medical Lake city,4874,WA,0
143,47.6265406,-122.242866,Medina city,2915,WA,0
144,47.5640042,-122.2312143,Mercer Island city,25748,WA,0
145,46.5734882,-119.0013184,Mesa city,385,WA,0
146,48.8523358,-117.3870195,Metaline town,162,WA,0
147,48.861295,-117.3718917,Metaline Falls town,272,WA,0
148,47.8651883,-122.2105658,Mill Creek city,20926,WA,0
149,47.6855655,-117.2800787,Millwood city,1881,WA,0
150,47.2519937,-122.3172889,Milton city,8697,WA,0
151,47.859833,-121.9840559,Monroe city,19699,WA,0
152,47.0147256,-123.5857108,Montesano city,4138,WA,0
153,46.5573823,-122.2814492,Morton city,1036,WA,0
154,47.1278501,-119.2763841,Moses Lake city,25146,WA,0
155,46.5304906,-122.4886791,Mossyrock city,768,WA,0
156,47.7943292,-122.3026073,Mountlake Terrace city,21286,WA,0
157,48.4170713,-122.3118318,Mount Vernon city,35219,WA,0
158,46.5639781,-120.396587,Moxee city,4326,WA,0
159,47.9130177,-122.3022531,Mukilteo city,21538,WA,0
160,46.7259848,-120.6912084,Naches town,1084,WA,0
161,46.5867959,-122.9020308,Napavine city,1888,WA,0
162,48.1669056,-118.9721153,Nespelem town,180,WA,0
163,47.5316644,-122.1655662,Newcastle city,13017,WA,0
164,48.1782597,-117.0546779,Newport city,2114,WA,0
165,48.9281121,-122.3175123,Nooksack city,1471,WA,0
166,47.4329749,-122.3446892,Normandy Park city,6771,WA,0
167,47.4879674,-121.7687855,North Bend city,7461,WA,0
168,45.6413928,-121.9727478,North Bonneville city,1397,WA,0
169,48.915792,-117.7796961,Northport town,297,WA,0
170,47.1304696,-117.2464399,Oakesdale town,395,WA,0
171,48.2938318,-122.6281536,Oak Harbor city,24622,WA,0
172,46.8401161,-123.2335075,Oakville city,715,WA,0
173,46.9653619,-124.1472068,Ocean Shores city,6715,WA,0
174,47.3325992,-118.6894446,Odessa town,896,WA,0
175,48.3672735,-119.5787678,Okanogan city,2379,WA,0
176,47.0406042,-122.8950005,Olympia city,55605,WA,0
177,48.4223376,-119.5306231,Omak city,4860,WA,0
178,48.9469508,-119.429969,Oroville city,1795,WA,0
179,47.0969361,-122.2116872,Orting city,9041,WA,0
180,46.8221363,-119.1652718,Othello city,8549,WA,0
181,47.2619744,-122.2524287,Pacific city,7235,WA,0
182,46.9103261,-117.0752075,Palouse city,1015,WA,0
183,46.2502891,-119.1290703,Pasco city,77108,WA,0
184,48.053094,-119.9003309,Pateros city,593,WA,0
185,46.571314,-123.2983105,Pe Ell town,642,WA,0
186,46.4737597,-117.5965412,Pomeroy city,1389,WA,0
187,48.1192357,-123.4480127,Port Angeles city,19960,WA,0
188,47.5384429,-122.6324307,Port Orchard city,15587,WA,0
189,48.1217622,-122.7878764,Port Townsend city,10148,WA,0
190,47.7410765,-122.6421524,Poulsbo city,11975,WA,0
191,46.298834,-118.312553,Prescott city,372,WA,0
192,46.2065508,-119.7653659,Prosser city,6062,WA,0
193,46.733555,-117.1679394,Pullman city,32901,WA,0
194,47.1792231,-122.2891914,Puyallup city,42973,WA,0
195,47.2342121,-119.8525028,Quincy city,7543,WA,0
196,46.8916705,-122.6865363,Rainier city,2369,WA,0
197,46.683742,-123.7395068,Raymond city,3081,WA,0
198,47.6700936,-117.8785746,Reardan town,637,WA,0
199,47.6779241,-122.1153356,Redmond city,73256,WA,0
200,47.4791902,-122.1946129,Renton city,106785,WA,0
201,48.6488203,-118.7330236,Republic city,992,WA,0
202,46.2815885,-119.2922473,Richland city,60560,WA,0
203,45.8175707,-122.6719591,Ridgefield city,10319,WA,0
204,47.1253276,-118.38092,Ritzville city,1767,WA,0
205,48.5129372,-119.5156657,Riverside town,329,WA,0
206,47.4514743,-117.1306271,Rockford town,522,WA,0
207,47.3731666,-120.1420764,Rock Island city,1279,WA,0
208,47.2362865,-117.3764765,Rosalia town,598,WA,0
209,47.2700295,-121.1412049,Roslyn city,950,WA,0
210,46.9899413,-122.540975,Roy city,816,WA,0
211,46.901898,-119.6207412,Royal City city,1776,WA,0
212,47.297997,-122.5117693,Ruston town,1055,WA,0
213,47.0914742,-117.5886874,St. John town,599,WA,0
214,47.5942675,-122.0380805,Sammamish city,67455,WA,0
215,47.4434029,-122.298287,SeaTac city,31454,WA,0
216,47.6193387,-122.3515649,Seattle city,737015,WA,0
217,48.5112191,-122.2321561,Sedro-Woolley city,12421,WA,0
218,46.6458555,-120.5382573,Selah city,8153,WA,0
219,48.0736879,-123.0878093,Sequim city,8024,WA,0
220,47.2189119,-123.1111901,Shelton city,10371,WA,0
221,47.7569166,-122.3455045,Shoreline city,58608,WA,0
222,47.7098524,-121.3564476,Skykomish town,161,WA,0
223,47.9288663,-122.0926843,Snohomish city,10126,WA,0
224,47.5432449,-121.8686448,Snoqualmie city,14121,WA,0
225,47.3910918,-119.484608,Soap Lake city,1691,WA,0
226,46.6698892,-123.8018463,South Bend city,1746,WA,0
227,47.1862049,-120.952549,South Cle Elum town,559,WA,0
228,47.1353858,-122.0966235,South Prairie town,373,WA,0
229,47.4298941,-117.3812242,Spangle city,280,WA,0
230,47.6669347,-117.433322,Spokane city,228989,WA,0
231,47.6633532,-117.2327795,Spokane Valley city,102976,WA,0
232,47.3048891,-117.9712903,Sprague city,495,WA,0
233,48.0572307,-117.746565,Springdale town,234,WA,0
234,48.2451443,-122.342232,Stanwood city,7705,WA,0
235,46.5215985,-118.128876,Starbuck town,119,WA,0
236,47.1692672,-122.5923363,Steilacoom town,6727,WA,0
237,45.6947434,-121.8963742,Stevenson city,1491,WA,0
238,47.8709539,-121.8042561,Sultan city,5146,WA,0
239,48.9955336,-122.2684531,Sumas city,1583,WA,0
240,47.2272148,-122.2362644,Sumner city,10621,WA,0
241,46.315758,-120.0058344,Sunnyside city,16375,WA,0
242,47.2521991,-122.4598318,Tacoma city,219346,WA,0
243,47.2247315,-117.0730567,Tekoa city,817,WA,0
244,46.8538171,-122.8604505,Tenino city,1870,WA,0
245,46.7026029,-120.7557839,Tieton city,1389,WA,0
246,46.4447207,-122.8522304,Toledo city,631,WA,0
247,48.7075633,-119.442297,Tonasket city,1103,WA,0
248,46.3804984,-120.3122015,Toppenish city,8854,WA,0
249,47.476289,-122.2757402,Tukwila city,21798,WA,0
250,46.9894629,-122.9172767,Tumwater city,25350,WA,0
251,48.3610045,-120.1171352,Twisp town,992,WA,0
252,46.5544287,-120.4920734,Union Gap city,6568,WA,0
253,46.5390914,-117.0861371,Uniontown town,389,WA,0
254,47.2153709,-122.5472592,University Place city,34866,WA,0
255,46.4045147,-122.9569433,Vader city,629,WA,0
256,45.6371555,-122.5965674,Vancouver city,190915,WA,0
257,46.2697989,-118.1508708,Waitsburg city,1166,WA,0
258,46.0670064,-118.337033,Walla Walla city,34060,WA,0
259,46.4436321,-120.4215067,Wapato city,4607,WA,0
260,46.967251,-119.0522674,Warden city,2449,WA,0
261,45.582801,-122.3463838,Washougal city,17039,WA,0
262,46.7539105,-118.3105393,Washtucna town,211,WA,0
263,47.6480186,-120.0706822,Waterville town,1134,WA,0
264,47.3380868,-117.2312246,Waverly town,121,WA,0
265,47.4359852,-120.3292659,Wenatchee city,35508,WA,0
266,46.8918148,-124.119847,Westport city,2213,WA,0
267,46.3138081,-119.3877683,West Richland city,16295,WA,0
268,45.7283938,-121.4853883,White Salmon city,2485,WA,0
269,47.7581322,-118.7119404,Wilbur town,895,WA,0
270,47.1012659,-122.0524535,Wilkeson town,499,WA,0
271,47.4230128,-119.1176509,Wilson Creek town,204,WA,0
272,46.4906593,-122.9342287,Winlock city,1472,WA,0
273,48.4716683,-120.1790059,Winthrop town,504,WA,0
274,47.7576947,-122.1467909,Woodinville city,13069,WA,0
275,45.9181833,-122.7535016,Woodland city,6531,WA,0
276,47.7879463,-122.3880188,Woodway city,1318,WA,0
277,45.8652427,-122.4062803,Yacolt town,1668,WA,0
278,46.5909379,-120.5494001,Yakima city,96968,WA,0
279,47.6445756,-122.2199938,Yarrow Point town,1134,WA,0
280,46.9426075,-122.6431588,Yelm city,10617,WA,0
281,46.4084243,-120.2726634,Zillah city,3179,WA,0
282,44.6707208,-123.2160099,Adair Village city,994,OR,0
283,45.7663511,-118.5640874,Adams city,389,OR,0
284,43.740826,-117.0708824,Adrian city,157,OR,0
285,44.6269277,-123.0967414,Albany city,56472,OR,0
286,45.1161609,-123.1996722,Amity city,1757,OR,0
287,44.9112597,-120.7235813,Antelope city,37,OR,0
288,45.7253166,-120.1889543,Arlington city,628,OR,0
289,42.1922159,-122.6982503,Ashland city,21360,OR,0
290,46.1873754,-123.8150727,Astoria city,10181,OR,0
291,45.8132842,-118.4926225,Athena city,1209,OR,0
292,44.8461709,-122.8698707,Aumsville city,4234,OR,0
293,45.2283172,-122.7572275,Aurora city,1133,OR,0
294,44.7748859,-117.8319856,Baker City city,10099,OR,0
295,43.1146897,-124.4155201,Bandon city,3321,OR,0
296,45.6149382,-123.1070673,Banks city,1837,OR,0
297,45.2524012,-122.7223097,Barlow city,133,OR,0
298,45.5210606,-123.8861257,Bay City city,1389,OR,0
299,45.477781,-122.8169278,Beaverton city,97494,OR,0
300,44.0564763,-121.3093748,Bend city,99178,OR,0
301,45.8365075,-119.6927928,Boardman city,3828,OR,0
302,42.2003166,-121.4066751,Bonanza town,404,OR,0
303,42.0724082,-124.3049086,Brookings city,6744,OR,0
304,44.3922363,-122.9834352,Brownsville city,1694,OR,0
305,43.5882806,-119.06129,Burns city,2730,OR,0
306,42.5414096,-122.5690802,Butte Falls town,443,OR,0
307,45.2650899,-122.6883952,Canby city,18171,OR,0
308,45.8880002,-123.9601333,Cannon Beach city,1489,OR,0
309,44.3930098,-118.9494851,Canyon City town,660,OR,0
310,42.9273088,-123.2789148,Canyonville city,1640,OR,0
311,45.2945077,-123.1753654,Carlton city,2220,OR,0
312,45.6760452,-121.868706,Cascade Locks city,1379,OR,0
313,42.1666638,-123.648096,Cave Junction city,2071,OR,0
314,42.3764876,-122.9110183,Central Point city,18997,OR,0
